Titles,Speed,Rattings,Conectivity,Warranties,Value,Doscount
"LG 9 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam Fully Automatic Front Load Washin...",1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,"₹35,990",33% off
"IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-buil...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹25,490",32% off
"Godrej 7 kg FabriSafe Drum, AI Tech With Steam Wash Fully Automatic Front Load Washing Machine with In...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹25,390",21% off
"LG 7 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam, Fully Automatic Front Load Washi...",With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹29,990",45% off
"MOTOROLA 8 kg Digital Inverter, Super Steam Technology with In-built Heater Grey (MTFL805NHNJG) Fully ...",2 Years Comprehensive Warranty on Product and 20 Years Warranty on Digital Inverter Motor,2 Years Comprehensive Warranty on Product and 20 Years Warranty on Digital Inverter Motor,2 Years Comprehensive Warranty on Product and 20 Years Warranty on Digital Inverter Motor,2 Years Comprehensive Warranty on Product and 20 Years Warranty on Digital Inverter Motor,"₹21,990",32% off
"SAMSUNG 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey",1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,1400 RPM Max Speed,"₹36,990",45% off
"SAMSUNG 7 kg 5 Star, AI, Wi-Fi, Digital Inverter Fully Automatic Front Load Washing Machine with In-bu...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹29,990",33% off
"SAMSUNG 9 kg 5 Star, Eco Bubble Technology, AI Control , Wi-Fi Enabled , Digital Inverter Motor, Hygie...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹37,990",30% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...",With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹32,990",34% off
BOSCH 9 kg Fully Automatic Front Load Washing Machine with In-built Heater White,"4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","₹35,990",58% off
"IFB 6 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, White",1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,1200 RPM Max Speed,"₹21,990",32% off
"SAMSUNG 9 kg 5 Star, Hygiene Steam Fully Automatic Front Load Washing Machine with In-built Heater Bla...",5 Star Rating,5 Star Rating,5 Star Rating,5 Star Rating,"₹36,990",45% off
"IFB 9 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front ...",With In-Built Heater,With In-Built Heater,With In-Built Heater,With In-Built Heater,"₹37,990",25% off
"LG 7 kg 5 Star with Steam, Inverter Direct Drive Technology, 6 Motion DD, Touch Panel and 1200 RPM Ful...",With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,With Wi-Fi Connectivity,"₹28,990",37% off
Motorola 10.5 kg 5 Star Smart Wi-Fi Enabled Inverter Technology Fully Automatic Front Load with In-bui...,"4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support","₹23,990",28% off
